Categoria,Item,Preço,Descrição
GRELHADOS,Mero (Posta),0.0,"Acompanhamentos: batata assada, courgete grelhada, salada de alfaces e tomate"
GRELHADOS,Garoupa (Posta),0.0,"Acompanhamentos: batata assada, courgete grelhada, salada de alfaces e tomate"
GRELHADOS,Pampo (Posta),0.0,"Acompanhamentos: batata assada, courgete grelhada, salada de alfaces e tomate"
GRELHADOS,Cherne (Posta),0.0,"Acompanhamentos: batata assada, courgete grelhada, salada de alfaces e tomate"
GRELHADOS,Salmão (Posta),0.0,"Acompanhamentos: batata assada, courgete grelhada, salada de alfaces e tomate"
GRELHADOS,Robalo (Escalado),0.0,"Acompanhamentos: batata assada, courgete grelhada, salada de alfaces e tomate"
GRELHADOS,Dourada (Escalado),0.0,"Acompanhamentos: batata assada, courgete grelhada, salada de alfaces e tomate"
GRELHADOS,Chicharro (Escalado),0.0,"Acompanhamentos: batata assada, courgete grelhada, salada de alfaces e tomate"
GRELHADOS,Bitoque de porco,0.0,"Acompanhamentos: batata frita, salada de alfaces e tomate"
GRELHADOS,Bitoque de novilho,0.0,"Acompanhamentos: batata frita, salada de alfaces e tomate"
GRELHADOS,Bife da vazia,0.0,"Acompanhamentos: batata frita, salada de alfaces e tomate"
GRELHADOS,Codorniz de Alenquer,0.0,"Acompanhamentos: batata frita, salada de alfaces e tomate"
GRELHADOS,Frango,0.0,"Acompanhamentos: batata frita, salada de alfaces e tomate"
GRELHADOS,Picanha,0.0,"Acompanhamentos: batata frita, salada de alfaces e tomate"
GRELHADOS,Tirinhas de porco preto,0.0,"Acompanhamentos: batata frita, salada de alfaces e tomate"
GRELHADOS,CACHAÃ‡O DE PORCO PRETO,0.0,"Acompanhamentos: batata frita, salada de alfaces e tomate"
GRELHADOS,Coelho,0.0,"Acompanhamentos: batata frita, salada de alfaces e tomate"
BEBIDAS,CafÃ©/descafeinado,1.0,
BEBIDAS,ChÃ¡,1.5,
BEBIDAS,"Ãgua 0,50l",1.2,
BEBIDAS,Ãgua L.,3.0,
BEBIDAS,Ãgua com gás,2.2,
BEBIDAS,Sumos,2.2,
BEBIDAS,"Imperial 0,20cl",1.5,
BEBIDAS,"Imperial 0,50cl",3.5,
BEBIDAS,"Imperial preta 0,20cl",2.0,
BEBIDAS,Imperial preta 0.5cl,5.0,
BEBIDAS,"Sidra 0,20cl",2.0,
BEBIDAS,"Sidra 0,50cl",5.0,
BEBIDAS,Cerveja sem álcool,2.0,
BEBIDAS,La Casera,2.5,
SOBREMESAS,Pastel de feijão,3.0,
SOBREMESAS,Torta de Azeitão,4.0,
SOBREMESAS,Tigelada,5.0,
SOBREMESAS,Bolo brigadeiro,6.0,
SOBREMESAS,Salame de chocolate,2.5,
SOBREMESAS,Mousse de chocolate,5.0,
SOBREMESAS,Baba de camelo,5.0,
SOBREMESAS,Cheesecake de maracujá,5.0,
SOBREMESAS,Cheesecake de frutos vermelho,5.0,
SOBREMESAS,Cheesecake de caramelo salgado,5.0,
SOBREMESAS,FRUTA DO DIA,4.0,"Abacaxi, Laranja, Morangos, Cerejas"
SOBREMESAS,Gelado da OLÁ sob consulta,0.0,
